Year,Age,Gender,Spending,Stay,Country_of_origin
2023,36,0,1345,13,Australia
2023,25,0,1132,20,Australia
2023,17,0,1553,19,Australia
2023,36,1,1194,18,Australia
2023,24,1,955,21,Australia
2023,35,0,1920,9,Australia
2023,25,0,473,28,Australia
2023,36,1,505,22,Australia
2023,43,0,1079,13,Australia
2023,50,1,1791,10,Australia
2023,50,0,502,22,Australia
2023,37,1,1181,9,Australia
2023,36,0,1190,16,Australia
2023,26,1,1993,9,Australia
2023,23,0,878,7,Australia
2023,27,0,481,20,Australia
2023,36,0,824,17,Australia
2023,26,0,1142,26,Canada
2023,25,0,1251,6,Canada
2023,26,0,1461,13,Canada
2023,20,0,1650,10,Canada
2023,17,0,1606,16,Canada
2023,20,0,1910,28,Canada
2023,23,0,990,19,Canada
2023,14,0,1792,9,Canada
2023,44,0,2023,23,Chile
2023,29,0,1331,17,Chile
2023,46,0,1111,24,Chile
2023,17,0,704,28,Chile
2023,49,1,573,18,Chile
2023,29,0,1507,13,Chile
2023,23,0,1113,14,China
2023,36,0,676,6,China
2023,36,0,805,12,China
2023,48,0,1105,14,China
2023,35,1,459,19,China
2023,16,1,1660,16,China
2023,21,1,1198,21,China
2023,29,0,1817,22,China
2023,45,1,799,26,Cook Islands
2023,29,0,1812,11,Cook Islands
2023,17,1,1347,27,Cook Islands
2023,31,1,1514,13,Cook Islands
2023,48,0,1093,24,Cook Islands
2023,26,1,860,28,Fiji
2023,20,1,1090,28,Fiji
2023,22,1,1033,11,Fiji
2023,44,1,1977,8,Fiji
2023,40,0,1287,28,Fiji
2023,28,0,1322,23,Fiji
2023,40,0,1380,17,Fiji
2023,42,0,1690,9,Fiji
2023,32,0,1366,20,Fiji
2023,42,0,1039,17,Fiji
2023,36,1,1877,6,Fiji
2023,30,1,1768,12,Fiji
2023,17,1,2022,26,Fiji
2023,46,1,2029,9,Fiji
2023,32,0,1918,15,Fiji
2023,25,1,499,28,French Polynesia
2023,20,0,1523,21,French Polynesia
2023,35,1,873,18,French Polynesia
2023,22,1,895,26,French Polynesia
2023,30,0,1518,10,French Polynesia
2023,31,0,1320,19,French Polynesia
2023,36,1,2000,10,French Polynesia
2023,25,0,717,25,French Polynesia
2023,32,0,1853,7,Hong Kong
2023,32,1,1631,27,Hong Kong
2023,26,1,1870,13,Hong Kong
2023,35,0,1961,16,Hong Kong
2023,29,1,1651,18,Hong Kong
2023,45,1,553,24,Hong Kong
2023,44,1,1515,7,Hong Kong
2023,32,0,1296,15,Hong Kong
2023,19,0,904,15,Japan
2023,32,1,1498,28,Japan
2023,17,0,854,24,Japan
2023,44,1,1333,21,Japan
2023,25,0,679,22,Japan
2023,20,1,716,21,Japan
2023,32,0,1205,26,Japan
2023,20,0,474,27,Japan
2023,32,0,705,14,Malaysia
2023,54,1,1275,10,Malaysia
2023,27,0,645,27,Malaysia
2023,21,0,1355,23,Malaysia
2023,50,0,1852,12,Malaysia
2023,18,0,1536,10,Malaysia
2023,26,0,953,11,Malaysia
2023,63,0,1216,28,Malaysia
2023,57,0,1122,15,New Caledonia
2023,18,1,1657,8,New Caledonia
2023,33,0,1880,24,New Caledonia
2023,18,1,1133,21,New Caledonia
2023,64,1,1380,13,New Caledonia
2023,48,0,1887,14,New Caledonia
2023,51,0,1759,17,New Caledonia
2023,35,0,1321,24,New Caledonia
2023,35,0,1859,24,Samoa
2023,31,1,1667,6,Samoa
2023,30,0,808,25,Samoa
2023,37,1,1295,6,Samoa
2023,38,1,455,8,Samoa
2023,40,0,1092,13,Samoa
2023,18,0,969,21,Samoa
2023,18,0,1991,23,Samoa
2023,37,0,832,6,Singapore
2023,28,1,939,14,Singapore
2023,29,1,1163,22,Singapore
2023,50,0,1148,11,Singapore
2023,18,1,1439,21,Singapore
2023,18,1,746,18,Singapore
2023,60,0,538,15,Singapore
2023,18,1,1025,28,Singapore
2023,26,0,1842,27,Singapore
2023,16,0,1594,15,Singapore
2023,40,0,1646,28,Singapore
2023,19,1,1948,12,Singapore
2023,21,1,521,7,Singapore
2023,49,1,1295,18,Singapore
2023,23,1,1993,20,Singapore
2023,22,1,1601,23,Singapore
2023,18,0,865,9,South Korea
2023,36,0,1328,23,South Korea
2023,28,1,1510,12,South Korea
2023,33,1,722,12,South Korea
2023,18,0,1984,14,South Korea
2023,32,0,907,11,South Korea
2023,34,0,1805,7,South Korea
2023,38,1,1850,14,South Korea
2023,43,1,654,25,Taiwan
2023,19,0,1074,15,Taiwan
2023,56,1,1973,20,Taiwan
2023,37,1,1420,18,Taiwan
2023,40,1,1799,20,Taiwan
2023,23,1,573,19,Taiwan
2023,37,1,993,25,Taiwan
2023,22,1,1570,27,Taiwan
2023,30,0,1842,28,Tonga
2023,46,1,1487,10,Tonga
2023,23,0,1944,8,Tonga
2023,31,0,1559,16,Tonga
2023,25,1,1144,26,Tonga
2023,32,0,2012,13,Tonga
2023,31,0,982,11,Tonga
2023,18,1,553,18,United Arab Emirates
2023,31,1,1957,14,United Arab Emirates
2023,46,0,2006,19,United Arab Emirates
2023,30,0,1307,10,United Arab Emirates
2023,40,0,1141,6,United Arab Emirates
2023,36,1,1762,10,United Arab Emirates
2023,30,0,1248,12,United Arab Emirates
2023,32,0,1451,10,United Arab Emirates
2023,28,0,1180,7,United States
2023,24,0,700,18,United States
2023,42,0,1211,12,United States
2023,25,0,857,21,United States
2023,48,0,992,23,United States
2023,40,0,1419,8,United States
2023,18,1,630,19,United States
2023,23,0,940,22,United States
2023,30,1,1666,14,United States
2023,21,0,1881,10,United States
